"metaData$Spec"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"
1	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
2	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
3	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
4	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
5	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
6	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
7	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
8	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
9	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
10	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
11	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
12	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
13	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
14	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
15	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
16	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
17	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
18	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
19	0.00093984962406015	0.995300751879699	0.00093984962406015	0.00093984962406015	0.00093984962406015	0.00093984962406015
