"Spec"	"Species names"	"BodyMass"	"sessile/mobile"	"Cluster"	"Shore Height 1 conservative"	"ShoreHt_C_Ordinal"	"ShoreHt_C_Breadth"	"Shore Height 2 restrictive"	"ShoreHt_R_Ordinal"	"ShortHt_R_Breadth"	"Phyllum"	"subphyllum"	"trophic"
"43"	46	"ceramium spp."	1.26	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Ephemeral"
"44"	47	"chaetomorpha_spp"	5.88	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"45"	48	"chondrus  canaliculatus"	0.68	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Rhodophyta"	"Corticated"
"46"	49	"cladophora spp."	3.5	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"47"	50	"codium dimorpha"	0.65	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Chaetophyta"	"Corticated"
"48"	51	"colpomenia phaeodactyla"	0.5	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Phaeophyta"	"Corticated"
"49"	52	"colpomenia sinuosa"	0.5	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Phaeophyta"	"Corticated"
"50"	53	"corallina offcinalis var. chilensis"	1.37	"S"	13	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Articulated"
"51"	54	"durvillaea antarctica"	10	"S"	12	"low"	1	1	"low"	1	1	"Algae"	"Phaeophyta"	"Kelp"
"52"	55	"ectocarpus silicosus"	1	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Phaeophyta"	"Ephemeral"
"53"	56	"enteromorpha compressa"	0.41	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"54"	57	"gelidium rex"	3.92	"S"	12	"low"	1	1	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"55"	58	"gelidium spp."	3	"S"	6	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"56"	59	"glossophora kunthii"	7.88	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"57"	60	"grateloupia"	10.31	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"58"	61	"gymnogongrus furcellatus"	5.2	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Rhodophyta"	"Corticated"
